,0
687,pronto
688,propria
689,proprio
690,prova
691,provavelmente
692,proxima
693,proximo
694,publico
695,quais
696,qualidade
697,qualquer
698,quantidade
699,quanto
700,quarto
701,quase
702,quatro
703,quer
704,querem
705,querendo
706,querer
707,queria
708,querida
709,quero
710,questao
711,quis
712,quiser
713,rapido
714,razao
715,re
716,real
717,realidade
718,realizar
719,realmente
720,receber
721,recebi
722,receita
723,rede
724,redor
725,relacao
726,resolvi
727,respeito
728,resposta
729,resultado
730,resultados
731,rio
732,rosto
733,rs
734,rua
735,ruim
736,sabe
737,saber
738,sabia
739,sai
740,sair
741,saiu
742,sala
743,sangue
744,sao
745,saudade
746,saude
747,seguinte
748,seguir
749,segunda
750,segundo
751,sei
752,semana
753,semanas
754,sempre
755,sendo
756,senhor
757,senhora
758,sensacao
759,sente
760,senti
761,sentia
762,sentido
763,sentimento
764,sentimentos
765,sentir
766,ser
767,sera
768,serao
769,serio
770,servico
771,sete
772,show
773,si
774,sido
775,significa
776,sim
777,simples
778,simplesmente
779,sinto
780,site
781,situacao
782,situacoes
783,so
784,sobre
785,sociais
786,social
787,sociedade
788,sofrimento
789,sol
790,som
791,somente
792,sonho
793,sonhos
794,sophia
795,sorriso
796,sorte
797,sozinha
798,sozinho
799,sucesso
800,super
801,surpresa
802,ta
803,tal
804,talvez
805,tamanho
806,tambem
807,tanta
808,tantas
809,tanto
810,tao
811,tarde
812,tava
813,tecnica
814,tempo
815,tempos
816,tentando
817,tentar
818,ter
819,terra
820,texto
821,the
822,time
823,tipo
824,tirar
825,tirei
826,titulo
827,to
828,toda
829,todas
830,todo
831,todos
832,tom
833,tomar
834,torna
835,tornar
836,total
837,totalmente
838,trabalhar
839,trabalho
840,trabalhos
841,tras
842,tratamento
843,traz
844,tres
845,triste
846,tristeza
847,tudo
848,tv
849,ultima
850,ultimo
851,ultimos
852,umas
853,unica
854,unico
855,uns
856,usa
857,usar
858,uso
859,vai
860,vale
861,valor
862,vamos
863,vao
864,varias
865,varios
866,vc
867,ve
868,veio
869,veja
870,vejo
871,velho
872,vem
873,ver
874,verdade
875,verdadeiro
876,versao
877,vez
878,vezes
879,vi
880,viagem
881,vida
882,vidas
883,video
884,visao
885,vista
886,visto
887,viu
888,viver
889,vivo
890,voce
891,voces
892,volta
893,voltar
894,voltei
895,vontade
896,vou
897,voz
898,www
899,you
