,0
623,ceu
624,13
625,fonte
626,medo
627,bastante
628,ir
629,publico
630,passar
631,podemos
632,meninas
633,falar
634,exemplo
635,luz
636,cantora
637,diante
638,sendo
639,algum
640,pastor
641,cara
642,esperanca
643,alto
644,cultura
645,amigo
646,2011
647,16
648,idade
649,ouvir
650,horas
651,olho
652,link
653,texto
654,estado
655,tres
656,www
657,twitter
658,abaixo
659,jose
660,semana
661,20
662,pior
663,ajudar
664,inicio
665,numero
666,etc
667,ponto
668,ne
669,nota
670,rede
671,seguir
672,deixar
673,segundo
674,presenca
675,padre
676,maneira
677,traz
678,mae
679,noite
680,agua
681,existe
682,fiz
683,humano
684,comportamento
685,graca
686,viu
687,portanto
688,aconteceu
689,sentir
690,programa
691,especial
692,receber
693,deste
694,tipo
695,nenhuma
696,espero
697,deu
698,garota
699,questao
700,chegou
701,lei
702,dinheiro
703,alguma
704,17
705,sete
706,si
707,feito
708,cozinha
709,copa
710,gosto
711,fernanda
712,proprio
713,precisa
714,numeros
715,atencao
716,relacao
717,time
718,web
719,meses
720,significa
721,serao
722,homens
723,obra
724,falta
725,missao
726,processo
727,entrar
728,mundial
729,somente
730,comigo
731,tirar
732,epoca
733,pao
734,verdadeiro
735,som
736,naquele
737,principalmente
738,vivo
739,parece
740,ta
741,certo
742,fase
743,melhores
744,ali
745,diferente
746,mostrar
747,saude
748,senhora
749,real
750,passo
751,conhecido
752,maos
753,oportunidade
754,evitar
755,forte
756,sangue
757,diferenca
758,unica
759,ar
760,passou
761,faze
762,conversa
763,partir
764,falou
765,novidades
766,totalmente
767,continuar
768,sofrimento
769,jovem
770,ajuda
771,salvacao
772,disco
773,caminho
774,gosta
775,milhoes
776,15
777,reino
778,muita
779,sexta
780,dessa
781,infancia
782,demais
783,mesmos
784,situacao
785,30
786,paz
787,acao
788,ambiente
789,liberdade
790,fica
791,escrever
792,irmao
793,victoria
794,possivel
795,jogos
796,obras
797,feliz
798,levar
799,noticia
